,FECHA,DESDE,HASTA,LINEA,MOLINETE,ESTACION,pax_pagos,pax_pases_pagos,pax_franq,pax_TOTAL
305954,16/8/2022,22:00:00,22:15:00,LineaA,LineaA_Congreso_S_Turn02,Congreso,12,0,0,12
581760,31/8/2022,11:00:00,11:15:00,LineaA,LineaA_Carabobo_E_Turn04,Carabobo,9,0,0,9
41047,3/8/2022,05:15:00,05:30:00,LineaB,LineaB_Uruguay_S_Turn01,Uruguay,1,0,0,1
162938,9/8/2022,10:45:00,11:00:00,LineaA,LineaA_Miserere_Q_HALL_Turn06,Plaza Miserere,22,0,5,27
494272,26/8/2022,17:00:00,17:15:00,LineaB,LineaB_Alem_S_Turn03,Leandro N. Alem,53,0,2,55
592455,31/8/2022,20:00:00,20:15:00,LineaA,LineaA_CBarros_N_Turn03,Castro Barros,20,0,1,21
491337,26/8/2022,14:30:00,14:45:00,LineaB,LineaB_LosIncas_Turn03,Los Incas,26,0,0,26
426687,23/8/2022,11:30:00,11:45:00,LineaB,LineaB_Uruguay_N_Turn01,Uruguay,12,0,1,13
49038,3/8/2022,12:15:00,12:30:00,LineaB,LineaB_Gardel_N_Turn01,Carlos Gardel,37,0,2,39
139417,8/8/2022,08:15:00,08:30:00,LineaA,LineaA_Carabobo_E_Turn03,Carabobo,44,0,0,44
379578,20/8/2022,18:15:00,18:30:00,LineaA,LineaA_Piedras_S_Turn01,Piedras,7,0,3,10
462373,25/8/2022,07:00:00,07:15:00,LineaB,LineaB_Pasteur_S_Turn02,Pasteur,17,0,1,18
564873,30/8/2022,13:45:00,14:00:00,LineaB,LineaB_Pellegrini_E_Turn01,Carlos Pellegrini,6,0,0,6
337349,18/8/2022,15:45:00,16:00:00,LineaA,LineaA_Puan_O_Turn02,Puan,17,0,0,17
440290,24/8/2022,05:30:00,05:45:00,LineaA,LineaA_Lima_N_Turn01,Lima,1,0,0,1
525347,28/8/2022,13:15:00,13:30:00,LineaC,LineaC_Constitucion_Turn18,Constitucion,12,0,0,12
288508,16/8/2022,07:00:00,07:15:00,LineaC,LineaC_Constitucion_Turn12,Constitucion,100,0,2,102
139272,8/8/2022,08:15:00,08:30:00,LineaC,LineaC_Constitucion_Turn11,Constitucion,17,0,37,54
211701,11/8/2022,17:00:00,17:15:00,LineaB,LineaB_Dorrego_N_Turn01,Dorrego,39,0,4,43
113014,6/8/2022,15:15:00,15:30:00,LineaB,LineaB_Pueyr_N_Turn03,Pueyrredon,21,0,0,21
292136,16/8/2022,10:15:00,10:30:00,LineaA,LineaA_PMayo_O_Turn04,Plaza de Mayo,7,0,0,7
34247,2/8/2022,17:00:00,17:15:00,LineaA,LineaA_Peru_N_Turn01,Peru,24,0,0,24
457269,24/8/2022,20:00:00,20:15:00,LineaB,LineaB_Pellegrini_E_Turn01,Carlos Pellegrini,23,0,0,23
512301,27/8/2022,16:15:00,16:30:00,LineaB,LineaB_Alem_N_Turn02,Leandro N. Alem,12,0,0,12
134235,7/8/2022,20:15:00,20:30:00,LineaC,LineaC_Constitucion_Turn17,Constitucion,22,0,0,22
249981,13/8/2022,16:15:00,16:30:00,LineaC,LineaC_Indepen_Turn03,Independencia,25,0,1,26
243483,13/8/2022,10:15:00,10:30:00,LineaA,LineaA_Miserere_S_Turn02,Plaza Miserere,29,0,1,30
68930,4/8/2022,11:45:00,12:00:00,LineaC,LineaC_AVMayo_N_Turn01,Avenida de Mayo,11,0,2,13
425754,23/8/2022,10:45:00,11:00:00,LineaB,LineaB_Florida_E_Turn01,Florida,10,0,0,10
567654,30/8/2022,16:15:00,16:30:00,LineaB,LineaB_Florida_O_Turn01,Florida,55,0,6,61
277398,15/8/2022,12:45:00,13:00:00,LineaB,LineaB_Alem_S_Turn01,Leandro N. Alem,11,0,6,17
118192,6/8/2022,20:00:00,20:15:00,LineaB,LineaB_Lacroze_O_Turn05,Federico Lacroze,10,0,0,10
197982,11/8/2022,05:30:00,05:45:00,LineaA,LineaA_Flores_Este_Turn01,Flores,6,0,1,7
280033,15/8/2022,15:30:00,15:45:00,LineaA,LineaA_Peru_N_Turn01,Peru,3,0,0,3
478946,25/8/2022,21:30:00,21:45:00,LineaB,LineaB_Pueyr_N_Turn01,Pueyrredon,6,0,0,6
322490,17/8/2022,20:15:00,20:30:00,LineaC,LineaC_Indepen_Turn03,Independencia,18,0,4,22
252224,13/8/2022,18:15:00,18:30:00,LineaB,LineaB_CallaoB_N_Turn03,Callao.B,1,0,0,1
503126,27/8/2022,07:30:00,07:45:00,LineaC,LineaC_Retiro_Turn05,Retiro,2,0,0,2
215092,11/8/2022,20:00:00,20:15:00,LineaA,LineaA_CBarros_S_Turn01,Castro Barros,39,0,3,42
348611,19/8/2022,08:00:00,08:15:00,LineaC,LineaC_Constitucion_Turn13,Constitucion,84,0,0,84
9869,1/8/2022,14:00:00,14:15:00,LineaA,LineaA_PMayo_O_Turn02,Plaza de Mayo,10,0,1,11
7522,1/8/2022,12:00:00,12:15:00,LineaC,LineaC_Constitucion_Turn20,Constitucion,166,0,0,166
222004,12/8/2022,08:45:00,09:00:00,LineaC,LineaC_Constitucion_Plaza_Turn,Constitucion,0,0,2,2
279678,15/8/2022,15:15:00,15:30:00,LineaC,LineaC_Retiro_Turn07,Retiro,7,0,0,7
548155,29/8/2022,16:45:00,17:00:00,LineaA,LineaA_Acoyte_N_Turn05,Acoyte,80,1,7,88
493424,26/8/2022,16:15:00,16:30:00,LineaA,LineaA_Miserere_S_Turn02,Plaza Miserere,20,0,0,20
263979,14/8/2022,14:00:00,14:15:00,LineaC,LineaC_Constitucion_Turn09,Constitucion,5,0,0,5
145077,8/8/2022,13:00:00,13:15:00,LineaA,LineaA_Pasco_Turn03,Pasco,17,0,1,18
392390,21/8/2022,15:15:00,15:30:00,LineaA,LineaA_Carabobo_O_Turn04,Carabobo,8,0,1,9
187087,10/8/2022,13:45:00,14:00:00,LineaB,LineaB_Pellegrini_E_Turn07,Carlos Pellegrini,56,0,3,59
381263,20/8/2022,19:45:00,20:00:00,LineaB,LineaB_Alem_S_Turn01,Leandro N. Alem,39,0,0,39
308678,17/8/2022,06:45:00,07:00:00,LineaA,LineaA_SanPedrito_Oeste_Turn01,San Pedrito,57,0,6,63
136447,8/8/2022,05:30:00,05:45:00,LineaB,LineaB_Lacroze_O_Turn03,Federico Lacroze,0,0,1,1
486623,26/8/2022,10:30:00,10:45:00,LineaA,LineaA_SnzPena_S_Turn01,Saenz Peña ,5,0,2,7
133420,7/8/2022,19:30:00,19:45:00,LineaC,LineaC_Moreno_N_Turn02,Mariano Moreno,4,0,0,4
287663,16/8/2022,06:15:00,06:30:00,LineaB,LineaB_Lacroze_O_Turn08,Federico Lacroze,26,0,0,26
144246,8/8/2022,12:15:00,12:30:00,LineaA,LineaA_SanPedrito_Oeste_Turn05,San Pedrito,20,0,1,21
169194,9/8/2022,16:00:00,16:15:00,LineaB,LineaB_Gardel_S_Turn03,Carlos Gardel,45,0,0,45
575690,31/8/2022,05:30:00,05:45:00,LineaB,LineaB_Pueyr_S_Turn01,Pueyrredon,2,0,0,2
430376,23/8/2022,14:45:00,15:00:00,LineaA,LineaA_Acoyte_N_Turn05,Acoyte,32,0,0,32
107470,6/8/2022,10:15:00,10:30:00,LineaB,LineaB_Pellegrini_E_Turn04,Carlos Pellegrini,25,0,0,25
412731,22/8/2022,17:00:00,17:15:00,LineaB,LineaB_Pasteur_N_Turn01,Pasteur,26,0,0,26
400156,22/8/2022,06:15:00,06:30:00,LineaB,LineaB_Pasteur_S_Turn03,Pasteur,12,0,0,12
49313,3/8/2022,12:30:00,12:45:00,LineaB,LineaB_Gardel_S_Turn03,Carlos Gardel,15,0,2,17
378736,20/8/2022,17:30:00,17:45:00,LineaB,LineaB_Florida_O_Turn05,Florida,10,0,0,10
497727,26/8/2022,19:45:00,20:00:00,LineaA,LineaA_Peru_S_Turn03,Peru,8,0,1,9
181321,10/8/2022,09:00:00,09:15:00,LineaC,LineaC_Constitucion_Turn10,Constitucion,97,0,0,97
247492,13/8/2022,14:00:00,14:15:00,LineaA,LineaA_Pasco_Turn02,Pasco,15,0,0,15
547029,29/8/2022,16:00:00,16:15:00,LineaB,LineaB_LosIncas_Turn06,Los Incas,0,0,1,1
431214,23/8/2022,15:15:00,15:30:00,LineaB,LineaB_Alem_N_Turn04,Leandro N. Alem,2,0,0,2
98375,5/8/2022,19:00:00,19:15:00,LineaB,LineaB_Malabia_N_Turn03,Malabia,37,0,11,48
343789,18/8/2022,21:15:00,21:30:00,LineaA,LineaA_Loria_N_Turn02,Loria,12,0,0,12
55156,3/8/2022,17:15:00,17:30:00,LineaB,LineaB_Alem_N_Turn04,Leandro N. Alem,21,0,0,21
